country,wave,year,n_respondents,index_all_ym,index_imf_ym,index_idawb_ym,index_unsc_ym,index_all_y,index_imf_y,index_idawb_y,index_unsc_y
IRQ,6.0,2013.0,1200,-0.055818783650744726,-0.08647931283308459,-0.06965487878990591,0.0015117583383849602,-0.08181058913228229,-0.2315016778705573,-0.09762211567475446,0.0913030243984553
IRQ,7.0,2018.0,1200,-0.1727691996752503,-0.27223793212269237,-0.1225959668309608,-0.15705521942488848,-0.17085643141946055,-0.025497702857618723,-0.1666577453488815,-0.19472465904464042
ISR,4.0,2001.0,1199,-0.06771439167177473,-0.2815783370717288,-0.24564132589068133,0.3267297773570369,-0.16199396067862298,-0.2815783370717288,-0.5231752322807585,0.40110480606221915
ITA,5.0,2005.0,1012,0.041865124563955726,0.0054673408932259275,0.16336892124930116,-0.12170676045043384,0.04946534141611036,0.04206760007269351,0.15238064712463548,-0.07561051679333673
JOR,4.0,2001.0,1221,0.11383719050361815,-0.007675909340658304,0.05898389492790402,0.2091420293596732,0.07537994560652518,-0.007675909340658285,0.019485802246496233,0.14370977900636928
JOR,5.0,2007.0,1200,0.11293074434844513,0.1385129514090101,0.08735008499791838,0.14806078762544925,0.1228996156142918,0.14246348559828917,0.11644930720623005,0.10793718386133933
JOR,6.0,2014.0,1200,0.017456630413111355,-0.03525673592669953,-0.04534645214899844,0.17349457103687183,0.012107848606200714,-0.0038149951355676117,-0.04193065081897805,0.10431414704344638
JOR,7.0,2018.0,1203,-0.11235729094510999,-0.08168703286192416,-0.11768923331291996,-0.11185162365381139,-0.18014195906775612,-0.16785392520870407,-0.10979364403701908,-0.23270660822236378
JPN,1.0,1981.0,1192,-0.19422929174097786,0.332477915312494,,-0.33094147895358844,0.12435465852604739,0.332477915312494,,-0.03611891832725982
JPN,2.0,1990.0,1010,-0.1824681436736023,-0.16837186130526996,-0.15809159658402389,-0.18850795693741298,-0.1422248080408008,-0.10081142576216066,-0.29165408725177894,-0.031538651812923056
JPN,3.0,1995.0,1054,-0.016637748444034355,-0.0629705037115942,0.10443697553626499,-0.1938333738125314,-0.028974146502466724,-0.14277252635663987,0.04548683523820692,-0.0640937933701903
JPN,4.0,2000.0,1361,-0.04710214679144309,-0.18040586564629071,0.027456040906836666,-0.0817361921477211,0.006798402800730331,-0.15099685578304822,0.06813421478512957,0.006449568785536399
JPN,5.0,2005.0,1096,-0.06747301357623363,-0.12243815342408727,-0.08988339520899857,0.05640506609733726,-0.05572756715493976,-0.10546763494867233,-0.0872088583116555,0.07985480938680856
JPN,6.0,2010.0,2439,-0.001871145974284714,-0.04032762880018052,0.0306006621263223,0.0055412475894365066,-0.04192960342153378,-0.032126288503535896,-0.009240704710664184,-0.06110215514874728
JPN,7.0,2019.0,1353,0.10652776463475597,0.10653533635111917,0.12118024906387478,0.10097009587378275,0.08117366964272463,0.09573943405215557,0.09365345360317473,0.07976137769678253
KAZ,6.0,2011.0,1500,0.027244381301141565,-0.013831826959347213,0.012184541917175686,0.04920382225215015,0.05426274984621027,0.07070168999106857,0.019221100385981883,0.05096920994254628
KAZ,7.0,2018.0,1276,0.022175496856579185,0.03371878108324815,-0.041299419718596915,0.07664651748411007,0.03794544780967335,0.0763532344010791,-0.02840295191866887,0.07845718020518332
KEN,7.0,2021.0,1266,-0.032582127558475144,0.23883406376462765,-0.1004803527195475,-0.07085419820356562,-0.03260037054280457,0.24542531247668006,-0.0895253623746531,-0.06892085465695713
KGZ,4.0,2003.0,1043,-0.09855865658531271,-0.0004975530428233954,-0.21392350901471804,0.050570438156675925,-0.11925554152558915,0.013739944204655559,-0.261852781585537,0.055179255347494335
KGZ,6.0,2011.0,1500,-0.06187312633765315,0.03499940498201937,-0.15364479443010656,0.08480226897397417,-0.047510258644133,0.030395711371027312,-0.14411914744089008,0.16312193682749634
KGZ,7.0,2020.0,1200,-0.015599730916258056,0.0013285788585671225,-0.015112084182532716,-0.03918546526989638,-0.0024625639340359923,-0.02831179342496095,0.03750698717084129,-0.051482945216271225
